user_id,count
,18
10121,15
10161,6
10168,18
10204,40
10220,130
10232,16
10246,18
10294,9
10332,7
10369,22
105083583,12
10546,12
105788533,8
105790568,10
105791779,8
105792084,54
105793869,9
105794043,8
105794406,46
105796367,17
105797324,9
105798365,6
105800489,11
105801261,6
105802071,11
105802873,12
105806724,36
105806948,9
105808563,10
105811146,126
105812812,22
105813840,18
105814383,37
105815919,153
105818656,41
105819339,16
105820266,7
105821890,8
105822052,6
105824478,20
105825015,14
105828773,13
105829612,85
105829717,8
105834088,8
105834572,14
105834848,12
105840706,6
105841823,8
105841930,24
105850054,20
105851679,23
105851792,13
105853558,13
105878950,30
105884647,17
105885115,33
105888900,6
105889270,38
105890157,15
105891309,42
105891981,31
105892311,12
105896397,7
105898385,21
105904743,6
105905764,6
105908354,210
105908675,42
105911436,9
105916201,6
105927097,16
105934900,10
105935712,11
105942841,15
105944712,8
105959282,58
105963898,25
105967126,6
105970716,16
105972105,37
105974560,8
105983127,6
105989354,202
10599,11
105994004,9
105995349,7
106000741,18
106001645,9
106013776,41
106016720,10
106022334,9
106035854,7
106038793,10
106045498,10
106049062,38
106055414,6
106056907,25
106058125,8
106059152,18
106063432,8
106068327,16
106071626,109
106073866,11
106075833,37
106077321,98
106077459,8
106077771,29
106096274,23
106097553,31
106098470,17
106101925,10
106103704,9
106105466,10
106106623,49
106114853,117
106114972,28
106130912,8
106140501,13
106140813,6
106141623,12
106173913,9
106180720,70
106186794,10
106187247,10
106189575,7
106194019,8
106209929,7
106214177,11
106222626,12
106236047,6
106239666,7
106242342,17
106251628,6
106268558,29
106269012,18
106271026,30
106279703,7
106280334,30
106296835,9
106306579,8
106307305,20
106308124,12
106310836,10
106320719,6
106324178,9
106325762,7
106330290,25
106347425,19
106350202,45
106351073,21
106355710,21
106356571,7
106359752,6
106366141,10
106367907,7
106368523,8
106378325,17
106380331,36
106380506,7
106381568,9
106389733,8
106397105,9
10641,22
106415187,7
106417444,20
106419027,10
106420487,13
106429172,110
106430658,16
106446101,7
106467532,23
106470162,9
106476274,7
106494698,12
106495144,14
106500472,101
106502778,229
106519306,17
106524410,260
106526829,6
106529215,9
106540971,10
106548925,8
106554219,44
106554851,7
106558490,6
106560803,8
106567735,13
106569219,7
106578430,43
106596726,125
106606462,334
106606614,22
106607467,9
106618164,16
106619611,70
106656752,13
106662918,15
106666369,13
106670773,9
106677868,11
106690825,7
106693270,6
106697264,8
106708690,30
106709875,9
106714648,8
106715165,6
106715405,7
106718275,6
106720558,10
106725999,88
106738398,6
106739805,42
106740350,10
106760418,9
106778424,18
106782341,21
106789243,21
106793614,9
106794962,6
106797711,42
106797746,8
106808301,8
106810365,17
106810689,9
106816037,16
106821785,6
106822110,28
106824532,60
106838822,7
106839278,122
106842228,17
106843929,7
106855118,7
106856071,21
106858993,6
106862538,14
106863637,7
106870964,8
106881547,13
106883001,6
106891266,6
106891650,13
106892045,15
106900667,14
106901183,13
106905587,36
106920443,8
106929372,10
106932131,89
106940449,25
106942302,14
106949968,59
106955340,19
106960437,6
106967283,29
106977824,47
106979194,8
106988779,8
107002494,7
107003581,9
107012952,17
107016396,10
107017099,6
107018697,12
107028300,15
107059069,223
107068176,8
107069819,6
107073729,11
107078873,7
107097922,24
107106012,17
107111603,7
107117061,9
107117542,9
107130713,11
107134493,12
107142289,22
107147231,7
107156374,17
107159381,21
107166204,6
107167168,58
107178013,10
107178182,22
107180162,9
107183979,12
107201572,13
107206725,8
107207677,11
107214214,17
107229840,21
107232529,19
107232890,6
107249864,68
107250166,7
107253738,8
107256570,9
107258586,6
107267655,46
107281176,11
107290679,14
107291371,6
107302730,6
107314000,8
107314708,7
107318389,8
107325227,11
107338568,9
107338979,137
107346717,7
107362148,6
107373153,11
107384624,21
107395651,10
107396029,14
107397081,45
107403191,6
107404959,14
107410589,46
107412647,9
107440613,9
